direction,profile,program_code,vuz,faculty,exams,scores,forms
Архитектура,Архитектура,07.03.01,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Архитектура,[],[['очная']],"[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Бизнес-информатика,Бизнес-информатика,38.03.05,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Бизнес-информатика,[],"[[ 'score': None,'очная'], [ 'score': None,'до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Государственное и муниципальное управление,Государственное и муниципальное управление,38.03.04,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Государственное и муниципальное управление,[],"[[ 'score': None,'очная'], [ 'score': None,'очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Дизайн,Дизайн,54.03.01,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Дизайн,[],"[[ 'score': None,'очная'], [ 'score': None,'очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Жилищное хозяйство и коммунальная инфраструктура,Жилищное хозяйство и коммунальная инфраструктура,38.03.10,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Жилищное хозяйство и коммунальная инфраструктура,[],"[[ 'score': None,'очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Журналистика,Журналистика,42.03.02,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Журналистика,[],"[[ 'score': None,'очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Информационная безопасность,Информационная безопасность,10.03.01,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Информационная безопасность,[],"[[ 'score': None,'очная'], [ 'score': None,'до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Информационные системы и технологии,Информационные системы и технологии,09.03.02,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Информационные системы и технологии,[],"[[ 'score': None,'очная'], [ 'score': None,'очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
История искусств,История искусств,50.03.03,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,История искусств,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Лингвистика,Лингвистика,45.03.02,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Лингвистика,[],"[['очная'], ['очно-заочная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Математическое обеспечение и администрирование информационных систем,Математическое обеспечение и администрирование информационных систем,02.03.03,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Математическое обеспечение и администрирование информационных систем,[],"[['очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Медиакоммуникации,Медиакоммуникации,42.03.05,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Медиакоммуникации,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Менеджмент,Менеджмент,38.03.02,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Менеджмент,[],"[['очная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Мехатроника и робототехника,Мехатроника и робототехника,15.03.06,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Мехатроника и робототехника,[],"[['очная']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Педагогическое образование,Педагогическое образование,44.03.01,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Педагогическое образование,[],"[['очная'], ['заочная'], ['очно-заочная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'Очно-заочная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
Прикладная информатика,Прикладная информатика,09.03.03,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,Прикладная информатика,[],"[['очная'], ['до']]","[{'education_form2': 'Очная',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}, {'education_form2': 'ДО',  'score': None,'free_places': None, 'average_score': None, 'olympic': None, 'price': '+'}]"
