long_name,short_name,geolocation,is_goverment,rating,logo,website,phone_admission,phone_general,email_general,email_admission,army,comment,obsh
Институт пищевых технологий и дизайна (филиал) Нижегородского государственного инженерно-экономического университета,Институт пищевых технологий и дизайна НГИЭУ,Нижегородская область,1,-1,https://tabiturient.ru/logovuz/ngieu.png,https://iptdnn.ru/,[],['+7(831)282-30-66'],['iptd@iptdnn.ru'],[],False,,False
Институт сферы обслуживания и предпринимательства (филиал) Донского государственного технического университета в г. Шахты,Институт сферы обслуживания и предпринимательства ДГТУ в г. Шахты,Ростовская область,1,-1,https://tabiturient.ru/logovuz/donstu.png,https://www.sssu.ru/,['+7 (988) 946-54-85'],[],[],['mail@sssu.ru'],False,,False
Институт технологий (филиал) Донского государственного технического университета в г. Волгодонске,Институт технологий ДГТУ в г. Волгодонске,Ростовская область,1,-1,https://tabiturient.ru/logovuz/donstu.png,http://www.vis2.ru/,[],[],[],[],False,,False
Институт ядерной энергетики (филиал) Cанкт-Петербургского политехнического университета Петра Великого в г. Сосновый Бор,Институт ядерной энергетики СПбПУ в г. Сосновый Бор,Санкт-Петербург и Ленинградская область,1,-1,https://tabiturient.ru/logovuz/spbstu.png,https://sbor.spbstu.ru/,[],[],[],[],False,,False
Иркутский государственный университет путей сообщения,ИрГУПС,Иркутская область,1,3,https://tabiturient.ru/logovuz/irgups.png,https://www.irgups.ru/,['+7 (3952) 63-83-70'],[],[],['pk@irgups.ru'],True,,True
Иркутский государственный аграрный университет имени А. А. Ежевского,Иркутский ГАУ,Иркутская область,1,3,https://tabiturient.ru/logovuz/irsau.png,http://irsau.ru/,[],[],['antikorruptsia@igsha.ru'],[],False,,True
Иркутский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России),Иркутский институт ВГУЮ,Иркутская область,1,-1,https://tabiturient.ru/logovuz/rpa.png,https://irk.rpa-mu.ru/,['+7 (4212) 94-00-26'],"['+7 (3852) 24-89-94', '+7 (812) 328-45-18', '+7 (843) 298-65-75', '+7 (4212) 94-00-26', '+7 (8142) 57-96-91', '+7 (4872) 70-02-24', '+7 (8452) 57-47-44', '+7 (8722) 51-57-33', '+7 (863) 201-84-23', '+7 (8342) 24-05-23', '+7 (343) 251-37-00', '+7 (3952) 24-30-49']",[],[],False,,False
Иркутский филиал филиал филиал Всероссийского государственного института кинематографии им. С.А. Герасимова,Иркутский филиал ВГИК,Иркутская область,1,-1,https://tabiturient.ru/logovuz/vgik.png,www.irkvgik.ru,[],[],[],[],False,,False
Иркутский филиал Московского государственного технического университета гражданской авиации,Иркутский филиал МГТУ ГА,Иркутская область,1,-1,https://tabiturient.ru/logovuz/mstuca.png,http://if-mstuca.ru,['8(3952) 54-38-39'],['8(3952) 54-38-39'],['do@if-mstuca.ru'],['do@if-mstuca.ru'],False,,False
Иркутский филиал Российского университета  спорта «ГЦОЛИФК»,Иркутский филиал РУС «ГЦОЛИФК»,Иркутская область,1,-1,https://tabiturient.ru/logovuz/rgufksmit.png,https://www.ifrgufk.ru/,[],[],[],[],False,,False
Ишимский педагогический институт им. П.П. Ершова (филиал) Тюменского государственного университета,Ишимский педагогический институт им. П.П. Ершова ТюмГУ,Тюменская область,1,-1,https://tabiturient.ru/logovuz/tumgu.png,https://ishim.utmn.ru/,[],[],[],[],False,,False
Курская академия государственной и муниципальной службы,КАГМС,Курская область,1,5,https://tabiturient.ru/logovuz/kagms.png,https://kagms.ru/,[],['+7 (4712) 34-32-68'],[],[],False,,False
Кабардино-Балкарский государственный университет имени Х. М. Бербекова,КБГУ им. Х. М. Бербекова,Кабардино-Балкарская Республика,1,6,https://tabiturient.ru/logovuz/kbsu.png,https://kbsu.ru/,[],[],[],[],False,,True
Казанская государственная академия ветеринарной медицины имени Н. Э. Баумана,КГАВМ им. Н.Э. Баумана,Республика Татарстан,1,5,https://tabiturient.ru/logovuz/kazanveterinary.png,https://kazanveterinary.ru/,['+7 (843) 598-44-04'],[],['study@kazanveterinary.ru'],[],False,,True
Казанский государственный архитектурно-строительный университет,КГАСУ,Республика Татарстан,1,7,https://tabiturient.ru/logovuz/kgasu.png,https://www.kgasu.ru/,['+7 (843) 510-46-01'],[],[],['info@kgasu.ru'],False,,True
Казанский государственный аграрный университет,КГАУ,Республика Татарстан,1,3,https://tabiturient.ru/logovuz/kazgau.png,https://www.kazgau.ru/,['8 (960) 056-76-67'],[],[],['info@kazgau.com'],False,,True
