Unnamed: 0,long_name,short_name,geolocation,is_goverment,rating,logo,website,phone_admission,phone_general,email_general,email_admission,comment
0,Институт пищевых технологий и дизайна (филиал) Нижегородского государственного инженерно-экономического университета,Институт пищевых технологий и дизайна НГИЭУ,Нижегородская область,1,-1,https://tabiturient.ru/logovuz/ngieu.png,https://iptdnn.ru/,[],['+7(831)282-30-66'],['iptd@iptdnn.ru'],[],
1,Институт сферы обслуживания и предпринимательства (филиал) Донского государственного технического университета в г. Шахты,Институт сферы обслуживания и предпринимательства ДГТУ в г. Шахты,Ростовская область,1,-1,https://tabiturient.ru/logovuz/donstu.png,https://www.sssu.ru/,['+7 (988) 946-54-85'],[],[],['mail@sssu.ru'],
2,Институт технологий (филиал) Донского государственного технического университета в г. Волгодонске,Институт технологий ДГТУ в г. Волгодонске,Ростовская область,1,-1,https://tabiturient.ru/logovuz/donstu.png,http://www.vis2.ru/,[],[],[],[],
3,Институт ядерной энергетики (филиал) Cанкт-Петербургского политехнического университета Петра Великого в г. Сосновый Бор,Институт ядерной энергетики СПбПУ в г. Сосновый Бор,Санкт-Петербург и Ленинградская область,1,-1,https://tabiturient.ru/logovuz/spbstu.png,https://sbor.spbstu.ru/,[],[],[],[],
4,Иркутский государственный университет путей сообщения,ИрГУПС,Иркутская область,1,3,https://tabiturient.ru/logovuz/irgups.png,https://www.irgups.ru/,['+7 (3952) 63-83-70'],[],[],['pk@irgups.ru'],
5,Иркутский государственный аграрный университет имени А. А. Ежевского,Иркутский ГАУ,Иркутская область,1,3,https://tabiturient.ru/logovuz/irsau.png,http://irsau.ru/,[],[],['antikorruptsia@igsha.ru'],[],
6,Иркутский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России),Иркутский институт ВГУЮ,Иркутская область,1,-1,https://tabiturient.ru/logovuz/rpa.png,https://irk.rpa-mu.ru/,['+7 (4212) 94-00-26'],"['+7 (3852) 24-89-94', '+7 (812) 328-45-18', '+7 (843) 298-65-75', '+7 (4212) 94-00-26', '+7 (8142) 57-96-91', '+7 (4872) 70-02-24', '+7 (8452) 57-47-44', '+7 (8722) 51-57-33', '+7 (863) 201-84-23', '+7 (8342) 24-05-23', '+7 (343) 251-37-00', '+7 (3952) 24-30-49']",[],[],
7,Иркутский филиал филиал филиал Всероссийского государственного института кинематографии им. С.А. Герасимова,Иркутский филиал ВГИК,Иркутская область,1,-1,https://tabiturient.ru/logovuz/vgik.png,www.irkvgik.ru,[],[],[],[],
8,Иркутский филиал Московского государственного технического университета гражданской авиации,Иркутский филиал МГТУ ГА,Иркутская область,1,-1,https://tabiturient.ru/logovuz/mstuca.png,http://if-mstuca.ru,['8(3952) 54-38-39'],['8(3952) 54-38-39'],['do@if-mstuca.ru'],['do@if-mstuca.ru'],
9,Иркутский филиал Российского университета  спорта «ГЦОЛИФК»,Иркутский филиал РУС «ГЦОЛИФК»,Иркутская область,1,-1,https://tabiturient.ru/logovuz/rgufksmit.png,https://www.ifrgufk.ru/,[],[],[],[],
10,Ишимский педагогический институт им. П.П. Ершова (филиал) Тюменского государственного университета,Ишимский педагогический институт им. П.П. Ершова ТюмГУ,Тюменская область,1,-1,https://tabiturient.ru/logovuz/tumgu.png,https://ishim.utmn.ru/,[],[],[],[],
11,Курская академия государственной и муниципальной службы,КАГМС,Курская область,1,5,https://tabiturient.ru/logovuz/kagms.png,https://kagms.ru/,[],['+7 (4712) 34-32-68'],[],[],
12,Кабардино-Балкарский государственный университет имени Х. М. Бербекова,КБГУ им. Х. М. Бербекова,Кабардино-Балкарская Республика,1,6,https://tabiturient.ru/logovuz/kbsu.png,https://kbsu.ru/,[],[],[],[],
13,Казанская государственная академия ветеринарной медицины имени Н. Э. Баумана,КГАВМ им. Н.Э. Баумана,Республика Татарстан,1,5,https://tabiturient.ru/logovuz/kazanveterinary.png,https://kazanveterinary.ru/,['+7 (843) 598-44-04'],[],['study@kazanveterinary.ru'],[],
14,Казанский государственный архитектурно-строительный университет,КГАСУ,Республика Татарстан,1,7,https://tabiturient.ru/logovuz/kgasu.png,https://www.kgasu.ru/,['+7 (843) 510-46-01'],[],[],['info@kgasu.ru'],
15,Казанский государственный аграрный университет,КГАУ,Республика Татарстан,1,3,https://tabiturient.ru/logovuz/kazgau.png,https://www.kazgau.ru/,['8 (960) 056-76-67'],[],[],['info@kazgau.com'],
16,Казанская государственная консерватория имени Н.Г. Жиганова,КГК им. Н. Г. Жиганова,Республика Татарстан,1,-1,https://tabiturient.ru/logovuz/kazancons.png,https://new.kazancons.ru/,"['+7 (843) 236-55-33', '+7 (843) 236-59-62']",['+7 (843) 236-55-33'],['2365533@list.ru'],"['2365533@list.ru', 'priem@kazancons.ru']",
17,Керченский государственный морской технологический университет,КГМТУ,Республика Крым и Севастополь,1,3,https://tabiturient.ru/logovuz/kgmtu.png,http://www.kgmtu.ru/,['8 (800) 222-55-71'],['8 (800) 222-55-71'],[],[],
18,Казанский государственный медицинский университет,КГМУ,Республика Татарстан,1,9,https://tabiturient.ru/logovuz/kgmu.png,https://kazangmu.ru/,[],[],[],[],
19,Курский государственный медицинский университет,КГМУ,Курская область,1,9,https://tabiturient.ru/logovuz/kurskmed.png,https://kurskmed.com/,"['8(920)260-47-66', '84712588138']",[],['kurskmed@mail.ru'],['kurskmed@mail.ru'],
20,Кузбасский гуманитарно-педагогический институт (филиал) Кемеровского государственного университета,КГПИ КемГУ,Кемеровская область,1,-1,https://tabiturient.ru/logovuz/kemsu.png,https://xn--c1akev.xn--p1ai/,[],[],[],[],
21,Красноярский государственный педагогический университет им. В.П. Астафьева,КГПУ им. В.П. Астафьева,Красноярский край,1,7,https://tabiturient.ru/logovuz/kspu.png,http://www.kspu.ru/,[],[],[],['press@kspu.ru'],
22,Ковровская государственная технологическая академия имени В.А. Дегтярева,КГТА им. В.А. Дегтярева,Владимирская область,1,5,https://tabiturient.ru/logovuz/dksta.png,https://dksta.ru/,[],[],[],[],
