long_name,short_name,geolocation,is_goverment,rating,logo,website,phone_admission,phone_general,email_general,email_admission,comment,vuz,obsh,info,rating
Институт пищевых технологий и дизайна (филиал) Нижегородского государственного инженерно-экономического университета,Институт пищевых технологий и дизайна НГИЭУ,Нижегородская область,1,-1,https://tabiturient.ru/logovuz/ngieu.png,https://iptdnn.ru/,[],['+7(831)282-30-66'],['iptd@iptdnn.ru'],[],,Институт пищевых технологий и дизайна НГИЭУ,False,,
Институт сферы обслуживания и предпринимательства (филиал) Донского государственного технического университета в г. Шахты,Институт сферы обслуживания и предпринимательства ДГТУ в г. Шахты,Ростовская область,1,-1,https://tabiturient.ru/logovuz/donstu.png,https://www.sssu.ru/,['+7 (988) 946-54-85'],[],[],['mail@sssu.ru'],,Институт сферы обслуживания и предпринимательства ДГТУ в г. Шахты ,False,,
Институт технологий (филиал) Донского государственного технического университета в г. Волгодонске,Институт технологий ДГТУ в г. Волгодонске,Ростовская область,1,-1,https://tabiturient.ru/logovuz/donstu.png,http://www.vis2.ru/,[],[],[],[],,Институт технологий ДГТУ в г. Волгодонске,False,,
Институт ядерной энергетики (филиал) Cанкт-Петербургского политехнического университета Петра Великого в г. Сосновый Бор,Институт ядерной энергетики СПбПУ в г. Сосновый Бор,Санкт-Петербург и Ленинградская область,1,-1,https://tabiturient.ru/logovuz/spbstu.png,https://sbor.spbstu.ru/,[],[],[],[],,Институт ядерной энергетики СПбПУ в г. Сосновый Бор ,False,,
Иркутский государственный университет путей сообщения,ИрГУПС,Иркутская область,1,3,https://tabiturient.ru/logovuz/irgups.png,https://www.irgups.ru/,['+7 (3952) 63-83-70'],[],[],['pk@irgups.ru'],,ИрГУПС,True,,
Иркутский государственный аграрный университет имени А. А. Ежевского,Иркутский ГАУ,Иркутская область,1,3,https://tabiturient.ru/logovuz/irsau.png,http://irsau.ru/,[],[],['antikorruptsia@igsha.ru'],[],,Иркутский ГАУ,True,,
Иркутский институт (филиал) Всероссийского государственного университета юстиции (РПА Минюста России),Иркутский институт ВГУЮ,Иркутская область,1,-1,https://tabiturient.ru/logovuz/rpa.png,https://irk.rpa-mu.ru/,['+7 (4212) 94-00-26'],"['+7 (3852) 24-89-94', '+7 (812) 328-45-18', '+7 (843) 298-65-75', '+7 (4212) 94-00-26', '+7 (8142) 57-96-91', '+7 (4872) 70-02-24', '+7 (8452) 57-47-44', '+7 (8722) 51-57-33', '+7 (863) 201-84-23', '+7 (8342) 24-05-23', '+7 (343) 251-37-00', '+7 (3952) 24-30-49']",[],[],,Иркутский институт ВГУЮ,False,,
Иркутский филиал филиал филиал Всероссийского государственного института кинематографии им. С.А. Герасимова,Иркутский филиал ВГИК,Иркутская область,1,-1,https://tabiturient.ru/logovuz/vgik.png,www.irkvgik.ru,[],[],[],[],,Иркутский филиал ВГИК,False,,
Иркутский филиал Московского государственного технического университета гражданской авиации,Иркутский филиал МГТУ ГА,Иркутская область,1,-1,https://tabiturient.ru/logovuz/mstuca.png,http://if-mstuca.ru,['8(3952) 54-38-39'],['8(3952) 54-38-39'],['do@if-mstuca.ru'],['do@if-mstuca.ru'],,Иркутский филиал МГТУ ГА,False,,
Иркутский филиал Российского университета  спорта «ГЦОЛИФК»,Иркутский филиал РУС «ГЦОЛИФК»,Иркутская область,1,-1,https://tabiturient.ru/logovuz/rgufksmit.png,https://www.ifrgufk.ru/,[],[],[],[],,Иркутский филиал РУС «ГЦОЛИФК»,False,,
