direction,profile,program_code,vuz,faculty,exams,scores,forms
Информационные системы и технологии,Без профиля,09.03.02,ИрГУПС,Факультет управления на транспорте и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['155', 'очно']]","[{'education_form2': 'Очная', 'score': '155', 'free_places': '30', 'average_score': '181', 'olympic': 'no data', 'price': -190200}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '181', 'olympic': 'no data', 'price': -68900}]"
Программная инженерия,Разработка программно-информационных систем,09.03.04,ИрГУПС,Факультет управления на транспорте и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['158', 'очно']]","[{'education_form2': 'Очная', 'score': '158', 'free_places': '24', 'average_score': '190', 'olympic': 'no data', 'price': -190200}]"
Информационная безопасность,Безопасность автоматизированных систем (по отрасли или сфере профессиональной деятельности),10.03.01,ИрГУПС,Факультет управления на транспорте и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['155', 'очно']]","[{'education_form2': 'Очная', 'score': '155', 'free_places': '25', 'average_score': '176', 'olympic': 'no data', 'price': -190200}]"
Приборостроение,Приборы и методы контроля качества и диагностики,12.03.01,ИрГУПС,Факультет транспортных систем,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['129', 'очно']]","[{'education_form2': 'Очная', 'score': '129', 'free_places': '23', 'average_score': '145', 'olympic': 'no data', 'price': -190200}]"
Конструкторско-технологическое обеспечение машиностроительных производств,Технология машиностроения,15.03.05,ИрГУПС,Факультет транспортных систем,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['147', 'очно']]","[{'education_form2': 'Очная', 'score': '147', 'free_places': '15', 'average_score': '162', 'olympic': 'no data', 'price': -190200}]"
Мехатроника и робототехника,Мехатронные системы на транспорте,15.03.06,ИрГУПС,Факультет транспортных систем,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['157', 'очно']]","[{'education_form2': 'Очная', 'score': '157', 'free_places': '18', 'average_score': '167', 'olympic': 'no data', 'price': -190200}]"
Техносферная безопасность,Безопасность технологических процессов и производств,20.03.01,ИрГУПС,Факультет строительства железных дорог,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['127', 'очно']]","[{'education_form2': 'Очная', 'score': '127', 'free_places': '30', 'average_score': '145', 'olympic': 'no data', 'price': -190200}]"
Технология транспортных процессов,Организация перевозок и управление на транспорте (железнодорожный транспорт),23.03.01,ИрГУПС,Факультет управления на транспорте и информационных технологий,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['116', 'очно']]","[{'education_form2': 'Очная', 'score': '116', 'free_places': '33', 'average_score': '148', 'olympic': 'no data', 'price': -190200}]"
Управление качеством,Управление качеством в производственно-технологических системах,27.03.02,ИрГУПС,Факультет систем обеспечения транспорта,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['131', 'очно']]","[{'education_form2': 'Очная', 'score': '131', 'free_places': '25', 'average_score': '152', 'olympic': 'no data', 'price': -190200}]"
Экономика,"Финансы и кредит; Бухгалтерский учет, анализ и аудит и др.",38.03.01,ИрГУПС,Факультет экономики и финансов,"[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -166300}]"
