long_name,short_name,geolocation,is_goverment,rating,logo,website
Иркутский государственный университет путей сообщения,ИрГУПС,Иркутская область,Гос.вуз,C,https://tabiturient.ru/logovuz/irgups.png,https://www.irgups.ru/
Иркутский государственный аграрный университет имени А. А. Ежевского,Иркутский ГАУ,Иркутская область,Гос.вуз,C,https://tabiturient.ru/logovuz/irsau.png,http://irsau.ru/
Курская академия государственной и муниципальной службы,КАГМС,Курская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/kagms.png,https://kagms.ru/
Казанская государственная академия ветеринарной медицины имени Н. Э. Баумана,КГАВМ им. Н.Э. Баумана,Республика Татарстан,Гос.вуз,B-,https://tabiturient.ru/logovuz/kazanveterinary.png,https://kazanveterinary.ru/
Казанский государственный аграрный университет,КГАУ,Республика Татарстан,Гос.вуз,C,https://tabiturient.ru/logovuz/kazgau.png,https://www.kazgau.ru/
Керченский государственный морской технологический университет,КГМТУ,Республика Крым и Севастополь,Гос.вуз,C,https://tabiturient.ru/logovuz/kgmtu.png,http://www.kgmtu.ru/
Казанский государственный медицинский университет,КГМУ,Республика Татарстан,Гос.вуз,A,https://tabiturient.ru/logovuz/kgmu.png,https://kazangmu.ru/
Курский государственный медицинский университет,КГМУ,Курская область,Гос.вуз,A,https://tabiturient.ru/logovuz/kurskmed.png,https://kurskmed.com/
Красноярский государственный педагогический университет им. В.П. Астафьева,КГПУ им. В.П. Астафьева,Красноярский край,Гос.вуз,B+,https://tabiturient.ru/logovuz/kspu.png,http://www.kspu.ru/
Ковровская государственная технологическая академия имени В.А. Дегтярева,КГТА им. В.А. Дегтярева,Владимирская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/dksta.png,https://dksta.ru/
Калининградский государственный технический университет,КГТУ,Калининградская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/klgtu.png,http://www.klgtu.ru
Курский государственный университет,КГУ,Курская область,Гос.вуз,B,https://tabiturient.ru/logovuz/kursksu.png,https://kursksu.ru/
Костромской государственный университет,КГУ,Костромская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/ksuedu.png,https://ksu.edu.ru/
Калужский государственный университет им. К.Э. Циолковского,КГУ им. К.Э. Циолковского,Калужская область,Гос.вуз,B+,https://tabiturient.ru/logovuz/tksu.png,https://tksu.ru/
"Кубанский государственный университет физической культуры, спорта и туризма",КГУФКСТ,Краснодарский край,Гос.вуз,B,https://tabiturient.ru/logovuz/kgufkst.png,https://kgufkst.ru/
Казанский государственный энергетический университет,КГЭУ,Республика Татарстан,Гос.вуз,A-,https://tabiturient.ru/logovuz/kgeu.png,https://kgeu.ru/
Казанский национальный исследовательский технологический университет,КНИТУ,Республика Татарстан,Гос.вуз,B,https://tabiturient.ru/logovuz/knitu.png,https://www.kstu.ru/
Казанский национальный исследовательский технический университет имени А. Н. Туполева,КНИТУ-КАИ,Республика Татарстан,Гос.вуз,A-,https://tabiturient.ru/logovuz/kai.png,https://kai.ru/
Казанский (Приволжский) Федеральный Университет,КФУ,Республика Татарстан,Гос.вуз,A,https://tabiturient.ru/logovuz/kfu.png,http://kpfu.ru/
Крымский федеральный университет имени В.И. Вернадского,КФУ им. Вернадского,Республика Крым и Севастополь,Гос.вуз,B+,https://tabiturient.ru/logovuz/cfuv.png,https://cfuv.ru/
Карачаево-Черкесский государственный университет имени У. Д. Алиева,КЧГУ им. У.Д. Алиева,Карачаево-Черкесская Республика,Гос.вуз,C,https://tabiturient.ru/logovuz/kchgu.png,https://kchgu.ru/
Кабардино-Балкарский государственный аграрный университет имени В. М. Кокова,Кабардино-Балкарский ГАУ,Кабардино-Балкарская Республика,Гос.вуз,C,https://tabiturient.ru/logovuz/kbgau.png,https://kbgau.ru/
Калмыцкий государственный университет,КалмГУ,Республика Калмыкия,Гос.вуз,C,https://tabiturient.ru/logovuz/kalmgu.png,https://www.kalmgu.ru/
Камчатский государственный университет имени Витуса Беринга,КамГУ им. Витуса Беринга,Камчатский край,Гос.вуз,B,https://tabiturient.ru/logovuz/kamgu.png,http://www.kamgu.ru/
Камчатский государственный технический университет,КамчатГТУ,Камчатский край,Гос.вуз,C,https://tabiturient.ru/logovuz/kamchatgtu.png,http://kamchatgtu.ru/
Кемеровский государственный медицинский университет,КемГМУ,Кемеровская область,Гос.вуз,B,https://tabiturient.ru/logovuz/kemsmu.png,https://kemsmu.ru/
Кемеровский государственный университет,КемГУ,Кемеровская область,Гос.вуз,B-,https://tabiturient.ru/logovuz/kemsu.png,https://kemsu.ru/
